NAMES,HABITAT,NO .OF THREATS,POPULATION TREND,CATEGORY STATUS,CATEGORY,GENERATION LENGTH
"Oncorhynchus nerka FRASER RIVER, MIDDLE: Stuart (early Stuart)",Marine Neritic,1,Decreasing,en, CHONDRICHTHYES,16.5
"Oncorhynchus nerka FRASER RIVER, MIDDLE: Stuart (summer)",Wetlands (inland),2,Decreasing,en, ACTINOPTERYGII,
Oncorhynchus nerka OUTER ISLANDS: NW Vancouver Island,Marine Neritic,1,Increasing,dd, ACTINOPTERYGII,
Oncorhynchus nerka OUTER ISLANDS: W Hadai Gwaii,Marine Neritic,1,Increasing,lc, ACTINOPTERYGII,
Gulf Sturgeon,Marine Neritic,1,Decreasing,en, ACTINOPTERYGII,
Slender Searobin,,2,Stable,lc, ACTINOPTERYGII,
Armored Searobin,Marine Neritic,1,Stable,lc, ACTINOPTERYGII,15
Black Snake Mackerel,,1,Stable,lc, ACTINOPTERYGII,
Arrowhead Dogfish,Marine Oceanic,0,Decreasing,nt, ACTINOPTERYGII,
Blackhead Salmon,Marine Neritic,0,Stable,lc, ACTINOPTERYGII,
Curlfin Sole,Marine Neritic,1,Stable,lc, CHONDRICHTHYES,
Keeltail Needlefish,,1,Stable,lc, CHONDRICHTHYES,
Atlantic Sturgeon,Marine Neritic,2,Increasing,vu, ACTINOPTERYGII,15
Wingfin Stingray,,2,Decreasing,cr, ACTINOPTERYGII,10.5
Broadgill Catshark,Marine Neritic,1,Stable,lc, CHONDRICHTHYES,
Atlantic Longnose Chimaera,Marine Oceanic,1,Stable,lc, CHONDRICHTHYES,16
Mosaic Gulper Shark,Marine Deep Benthic,0,Decreasing,en, CHONDRICHTHYES,
Blotched Catshark,Marine Neritic,1,Stable,lc, CHONDRICHTHYES,
Chain Catshark,Marine Deep Benthic,1,Stable,lc, CHONDRICHTHYES,
Venezuelan Round Ray,Marine Deep Benthic,1,Decreasing,en, CHONDRICHTHYES,
Boa Catshark,Marine Deep Benthic,1,Stable,lc, CHONDRICHTHYES,
Narrowtail Catshark,,0,Stable,lc, ACTINOPTERYGII,
Northern Rock Sole,,1,Stable,lc, ACTINOPTERYGII,
Pacific Angel Shark,Marine Oceanic,1,Decreasing,nt, CHONDRICHTHYES,
Slender Bristlemouth,Marine Oceanic,0,Stable,lc, ACTINOPTERYGII,
Shortfin Mako,Marine Neritic,1,Decreasing,en, ACTINOPTERYGII,
Whitesaddled Catshark,Marine Oceanic,1,Stable,lc, CHONDRICHTHYES,
Velvet Dogfish,Marine Neritic,1,Stable,lc, CHONDRICHTHYES,7.4
Scamp,,0,Stable,dd, CHONDRICHTHYES,
Tautoga onitis,Marine Neritic,1,Decreasing,vu, CHONDRICHTHYES,
Antarctic Silverfish,Marine Neritic,1,Stable,lc, CHONDRICHTHYES,13
Dwarf Atlantic Saury,Marine Oceanic,1,Stable,lc, CHONDRICHTHYES,14
Arctic Fox,Marine Deep Benthic,1,Stable,lc, ACTINOPTERYGII,
Banded Drum,,0,Stable,lc, ACTINOPTERYGII,
Colombian Dwarf Numbfish,Marine Neritic,1,Decreasing,vu, ACTINOPTERYGII,5.5
Kamchatka Flounder,Marine Neritic,1,Increasing,lc, ACTINOPTERYGII,
Yellowfin Sole,Marine Neritic,0,Decreasing,lc, ACTINOPTERYGII,20
Sakhalin Sole,,2,Increasing,lc, ACTINOPTERYGII,
Pacific Dover Sole,Wetlands (inland),0,Stable,lc, ACTINOPTERYGII,
South Georgia Diving-petrel,,0,Decreasing,lc, ACTINOPTERYGII,
Slender Sole,,3,Stable,lc, ACTINOPTERYGII,3.5
Pacific Sanddab,Wetlands (inland),3,Increasing,lc, ACTINOPTERYGII,55.4
Pacific Chub Mackerel,Wetlands (inland),0,Stable,lc, ACTINOPTERYGII,
Pacific Sleeper Shark,,0,Decreasing,nt, ACTINOPTERYGII,
Freckled Guitarfish,,0,Decreasing,vu, ACTINOPTERYGII,
Gulper Shark,,0,Decreasing,en, ACTINOPTERYGII,
Smooth Butterfly Ray,,0,Decreasing,nt, ACTINOPTERYGII,
Shortfin Mako,,0,Decreasing,vu, ACTINOPTERYGII,
Grass Porgy,,0,Stable,lc, ACTINOPTERYGII,62
Dusky Damselfish,Wetlands (inland),0,Stable,lc, ACTINOPTERYGII,
Serra Spanish Mackerel,,0,Decreasing,lc, ACTINOPTERYGII,
Topsmelt Silverside,Wetlands (inland),0,Stable,lc, ACTINOPTERYGII,9.3
Small Scaled Brown Slickhead,Wetlands (inland),0,Stable,lc, ACTINOPTERYGII,
Fourwing Flyingfish,Wetlands (inland),0,Stable,lc, ACTINOPTERYGII,
Diaphus dumerilii,,3,Stable,dd, ACTINOPTERYGII,12.5
David's Angelshark,,0,Decreasing,nt, ACTINOPTERYGII,
Bent-tooth Bristlemouth,Wetlands (inland),0,Stable,lc, ACTINOPTERYGII,
Shortnose Sturgeon,Wetlands (inland),2,Stable,vu, ACTINOPTERYGII,
Longnose Stingray,Wetlands (inland),0,Decreasing,nt, ACTINOPTERYGII,21.2
Venezuelan Dwarf Numbfish,Wetlands (inland),0,Decreasing,vu, ACTINOPTERYGII,
Rex Sole,Wetlands (inland),2,Stable,lc, ACTINOPTERYGII,14.3
Flathead Sole,,3,Stable,lc, ACTINOPTERYGII,
Bering Flounder,Wetlands (inland),0,Stable,lc, ACTINOPTERYGII,
Pacific Halibut,,0,Stable,lc, ACTINOPTERYGII,17
Crocodile Shark,Wetlands (inland),7,Increasing,lc, ACTINOPTERYGII,18
Small-crested Angelshark,Marine Neritic,0,Stable,lc, ACTINOPTERYGII,8.5
Fringefin Lanternshark,Marine Deep Benthic,1,Stable,lc, ACTINOPTERYGII,9
Sheepshead,Marine Neritic,0,Stable,lc, ACTINOPTERYGII,
Barred Cardinalfish,Marine Deep Benthic,1,Stable,lc, CHONDRICHTHYES,
Bathycongrus dubius,Marine Oceanic,0,Stable,lc, ACTINOPTERYGII,
Southern Eagle Ray,Marine Neritic,0,Decreasing,vu, ACTINOPTERYGII,
Atlantic Finless Skate,,1,Stable,lc, ACTINOPTERYGII,
Speckled Hind,Wetlands (inland),5,Decreasing,dd, ACTINOPTERYGII,
One-striped Poison-fang Blenny,Marine Neritic,1,Stable,lc, CHONDRICHTHYES,
Striped Cusk-eel,Marine Deep Benthic,0,Stable,lc, CHONDRICHTHYES,
Stripefin Brotula,,1,Stable,lc, CHONDRICHTHYES,60
Banded Jawfish,,1,Stable,lc, CHONDRICHTHYES,
Marblecheek Sleeper,,0,Increasing,lc, CHONDRICHTHYES,5
Atlantc Sailfin Flyingfish,Marine Neritic,1,Stable,lc, CHONDRICHTHYES,
Striated Frogfish,Marine Neritic,1,Stable,lc, CHONDRICHTHYES,
Cuban Ribbontail Catshark,,1,Stable,lc, CHONDRICHTHYES,
Roughtail Catshark,,0,Stable,lc, CHONDRICHTHYES,19
American Eel,,1,Stable,en, ACTINOPTERYGII,8
Alaska Plaice,Marine Neritic,1,Stable,lc, CHONDRICHTHYES,25
Bigeye Tuna,Marine Oceanic,0,Decreasing,vu, ACTINOPTERYGII,
Subantarctic Fur Seal,Marine Oceanic,1,Stable,lc, CHONDRICHTHYES,
Mottled Mojarra,,0,Stable,lc, CHONDRICHTHYES,
Brazilian Sharpnose Shark,Marine Oceanic,1,Decreasing,vu, CHONDRICHTHYES,7.65
Broadbanded Lanternshark,Marine Neritic,1,Stable,lc, ACTINOPTERYGII,
Caribbean Numbfish,Marine Neritic,2,Stable,lc, ACTINOPTERYGII,16.5
Comb Grouper,Marine Neritic,0,Stable,lc, ACTINOPTERYGII,
Shortnose Sturgeon,Marine Oceanic,0,Stable,vu, ACTINOPTERYGII,
Atractoscion nobilis,Grassland,2,Stable,lc, MAMMALIA,3
Dwarf Catshark,,0,Stable,lc, ACTINOPTERYGII,
Bullnose Eagle Ray,Marine Neritic,1,Decreasing,vu, CHONDRICHTHYES,
Painted Dwarf Numbfish,,0,Decreasing,vu, ACTINOPTERYGII,
Smalleye Smoothhound,Marine Neritic,2,Decreasing,en, ACTINOPTERYGII,
Bermuda Blue Angelfish,Marine Neritic,0,Stable,lc, ACTINOPTERYGII,
Spotted Whiff,Marine Neritic,0,Stable,lc, ACTINOPTERYGII,
Crested Cusk-eel,Rocky areas (eg. inland cliffs,2,Stable,lc, AVES,
Large-scaled Spinycheek Sleeper,Marine Neritic,0,Stable,lc, ACTINOPTERYGII,
Northern Kingcroaker,,0,Stable,lc, ACTINOPTERYGII,
Hogfish,,1,Decreasing,vu, ACTINOPTERYGII,
Bicolored Bristlemouth,Marine Neritic,1,Stable,lc, CHONDRICHTHYES,
Cuban Dogfish,,3,Increasing,lc, CHONDRICHTHYES,
Sockeye Salmon,Marine Deep Benthic,1,Increasing,lc, CHONDRICHTHYES,
Sockeye Salmon,Marine Neritic,1,Decreasing,cr, CHONDRICHTHYES,
Sockeye Salmon,,2,Stable,lc, CHONDRICHTHYES,
Sockeye Salmon,Marine Neritic,2,Increasing,lc, ACTINOPTERYGII,
Sockeye Salmon,Marine Neritic,0,Stable,lc, ACTINOPTERYGII,
Sockeye Salmon,,1,Decreasing,en, ACTINOPTERYGII,
Sockeye Salmon,Marine Neritic,0,Increasing,nt, ACTINOPTERYGII,
Sockeye Salmon,,0,Increasing,lc, ACTINOPTERYGII,
Sockeye Salmon,,1,Increasing,lc, ACTINOPTERYGII,
Sockeye Salmon,Marine Oceanic,1,Decreasing,en, ACTINOPTERYGII,
Sockeye Salmon,Marine Neritic,1,Decreasing,vu, CHONDRICHTHYES,
Sockeye Salmon,Marine Oceanic,0,Stable,lc, ACTINOPTERYGII,
Sockeye Salmon,Wetlands (inland),6,Decreasing,en, ACTINOPTERYGII,
Sockeye Salmon,,1,Increasing,lc, CHONDRICHTHYES,
Sockeye Salmon,Marine Neritic,1,Decreasing,cr, CHONDRICHTHYES,
Sockeye Salmon,Marine Neritic,0,Increasing,lc, ACTINOPTERYGII,
Sockeye Salmon,Marine Neritic,0,Stable,lc, ACTINOPTERYGII,
Sockeye Salmon,Marine Neritic,1,Decreasing,en, ACTINOPTERYGII,
Sockeye Salmon,Marine Neritic,2,Decreasing,vu, ACTINOPTERYGII,
Sockeye Salmon,Marine Oceanic,1,Decreasing,lc, CHONDRICHTHYES,43.4
Sockeye Salmon,Marine Deep Benthic,0,Increasing,lc, CHONDRICHTHYES,
Sockeye Salmon,Marine Oceanic,1,Increasing,nt, CHONDRICHTHYES,
Sockeye Salmon,Marine Neritic,1,Stable,lc, ACTINOPTERYGII,
Sockeye Salmon,Marine Neritic,1,Increasing,lc, ACTINOPTERYGII,
Sockeye Salmon,,0,Increasing,lc, ACTINOPTERYGII,
Sockeye Salmon,,1,Increasing,dd, CHONDRICHTHYES,
Sockeye Salmon,Marine Deep Benthic,0,Decreasing,cr, CHONDRICHTHYES,
Sockeye Salmon,Marine Neritic,1,Increasing,lc, ACTINOPTERYGII,55.4
Sockeye Salmon,Marine Neritic,0,Stable,lc, ACTINOPTERYGII,
Sockeye Salmon,Marine Neritic,0,Increasing,lc, ACTINOPTERYGII,
Sockeye Salmon,,0,Decreasing,en, ACTINOPTERYGII,
Sockeye Salmon,,0,Stable,lc, ACTINOPTERYGII,27.8
Sockeye Salmon,,0,Decreasing,lc, ACTINOPTERYGII,
Sockeye Salmon,,0,Stable,lc, ACTINOPTERYGII,
Sockeye Salmon,,0,Stable,lc, ACTINOPTERYGII,
Sockeye Salmon,Marine Deep Benthic,1,Increasing,lc, CHONDRICHTHYES,
Sockeye Salmon,Marine Oceanic,0,Stable,lc, CHONDRICHTHYES,
Black Grunt,,0,Decreasing,lc, ACTINOPTERYGII,
Southern Stargazer,,0,Stable,lc, ACTINOPTERYGII,14.35
Channel Scabbardfish,,1,Stable,lc, ACTINOPTERYGII,
Cayenne Pompano,,3,Stable,lc, MAMMALIA,24.5
Atlantic Angelshark,,0,Increasing,lc, ACTINOPTERYGII,
Silver Seatrout,Marine Neritic,1,Stable,lc, CHONDRICHTHYES,
Sharpnose Sevengill Shark,Marine Oceanic,1,Decreasing,nt, CHONDRICHTHYES,16.5
Broadnose Sevengill Shark,Marine Neritic,1,Decreasing,vu, CHONDRICHTHYES,15
Gag,Marine Neritic,1,Decreasing,vu, ACTINOPTERYGII,
Inland Silverside,,9,Stable,lc, ACTINOPTERYGII,
Horned Whiff,Marine Neritic,2,Stable,lc, ACTINOPTERYGII,
Twospot Brotula,Marine Deep Benthic,0,Stable,lc, CHONDRICHTHYES,
Trinectes maculatus,,1,Stable,lc, CHONDRICHTHYES,4.5
Greenland Halibut,Marine Neritic,1,Decreasing,nt, CHONDRICHTHYES,19
Atlantic Sixgill Shark,Marine Neritic,1,Stable,lc, CHONDRICHTHYES,19
Atlantic Pygmy Devil Ray,Marine Neritic,1,Decreasing,en, ACTINOPTERYGII,13
Striped Marlin,Marine Neritic,0,Decreasing,lc, ACTINOPTERYGII,24
Dusky Cardinalfish,,0,Stable,lc, ACTINOPTERYGII,11.4
Atlantic Nurse Shark,Marine Neritic,5,Decreasing,vu, ACTINOPTERYGII,
Sockeye Salmon,Marine Neritic,1,Increasing,lc, ACTINOPTERYGII,5.1
Pompano Dolphinfish,Marine Neritic,1,Stable,lc, ACTINOPTERYGII,5
Pinfish,Marine Oceanic,0,Stable,lc, ACTINOPTERYGII,
Duskytail Grouper,,2,Decreasing,dd, CHONDRICHTHYES,6
Snowy Grouper,Wetlands (inland),0,Decreasing,vu, ACTINOPTERYGII,27.75
Robust Silverside,Wetlands (inland),4,Stable,lc, ACTINOPTERYGII,
Pilotfish,Wetlands (inland),0,Stable,lc, ACTINOPTERYGII,
Smalleye Hammerhead,Wetlands (inland),0,Decreasing,cr, ACTINOPTERYGII,
Hardhead Sea Catfish,Wetlands (inland),0,Stable,lc, ACTINOPTERYGII,
Graysby,Wetlands (inland),5,Stable,lc, ACTINOPTERYGII,
Southern Flounder,,4,Decreasing,nt, ACTINOPTERYGII,
Fat Sleeper,,0,Stable,lc, ACTINOPTERYGII,
Red Drum,,0,Stable,lc, ACTINOPTERYGII,
Ocean Triggerfish,Wetlands (inland),3,Stable,lc, ACTINOPTERYGII,
Summer Flounder,Wetlands (inland),3,Decreasing,lc, ACTINOPTERYGII,23
Grey Cutthroat Eel,,0,Stable,lc, ACTINOPTERYGII,
Smalltooth Sandtiger,Wetlands (inland),4,Decreasing,vu, ACTINOPTERYGII,25.4
White Sturgeon,,0,Stable,vu, ACTINOPTERYGII,10.5
Cubera Snapper,Wetlands (inland),3,Decreasing,vu, ACTINOPTERYGII,4.5
Bay Anchovy,Wetlands (inland),0,Stable,lc, ACTINOPTERYGII,11.5
North Pacific Spiny Dogfish,Wetlands (inland),0,Stable,lc, ACTINOPTERYGII,14.5
Ocellated Flounder,Wetlands (inland),3,Stable,lc, ACTINOPTERYGII,14
Blackfin Goosefish,Wetlands (inland),5,Decreasing,lc, ACTINOPTERYGII,19
White Sturgeon,Wetlands (inland),0,Decreasing,vu, ACTINOPTERYGII,9
Slender Suckerfish,,0,Stable,lc, ACTINOPTERYGII,
Whalesucker,,4,Stable,lc, ACTINOPTERYGII,
Yellowtail Snapper,Wetlands (inland),0,Decreasing,dd, ACTINOPTERYGII,4.5
Chola Guitarfish,Wetlands (inland),0,Decreasing,en, ACTINOPTERYGII,
Bay Whiff,,0,Stable,lc, ACTINOPTERYGII,
Dwarf Sand Perch,Wetlands (inland),0,Stable,lc, ACTINOPTERYGII,14.5
Speckled Seatrout,Wetlands (inland),3,Increasing,lc, ACTINOPTERYGII,
Bigeyed Sixgill Shark,Wetlands (inland),0,Decreasing,nt, ACTINOPTERYGII,37
Sergeant-major,Wetlands (inland),0,Stable,lc, ACTINOPTERYGII,
Rock Hind,Wetlands (inland),0,Stable,lc, ACTINOPTERYGII,
Atlantic Silverside,Wetlands (inland),2,Stable,lc, ACTINOPTERYGII,
North Pacific Harbor Seal,Wetlands (inland),0,Increasing,lc, ACTINOPTERYGII,
Yellowfin Tuna,Wetlands (inland),0,Decreasing,lc, ACTINOPTERYGII,
