NAMES,HABITAT,NO .OF THREATS,POPULATION TREND,CATEGORY STATUS,CATEGORY,GENERATION LENGTH
Western Patas Monkey,Forest,3,Decreasing,nt, MAMMALIA,9.6
Omo Vervet Monkey,Savanna,3,Decreasing,dd, MAMMALIA,
Swayne's Hartebeest,Savanna,2,Decreasing,en, MAMMALIA,7.5
Sumatran Clouded Leopard,,0,Decreasing,en, MAMMALIA,
Bornean Clouded Leopard,,0,Decreasing,en, MAMMALIA,
Tora Hartebeest,Savanna,2,Decreasing,cr, MAMMALIA,7.5
Lelwel Hartebeest,Forest,3,Decreasing,en, MAMMALIA,7.5
Western Hartebeest,Forest,3,Decreasing,vu, MAMMALIA,7.5
Ochraceous Bare-face Tamarin,Forest,2,Decreasing,nt, MAMMALIA,6.8
Miller’s Maroon Langur,Forest,1,Decreasing,en, MAMMALIA,13
Thornicroft's Giraffe,Forest,0,Stable,vu, MAMMALIA,
Martin’s Bare-face Tamarin,Forest,2,Decreasing,nt, MAMMALIA,6.8
Leontocebus fuscicollis ssp. mura,Forest,2,Decreasing,nt, MAMMALIA,
Angolan Giraffe,Forest,4,Increasing,lc, MAMMALIA,
Djam-djam Monkey,Forest,3,Decreasing,en, MAMMALIA,
Bale Mountains monkey,Forest,3,Decreasing,en, MAMMALIA,
Stairs' White-collared Monkey,Forest,3,Decreasing,lc, MAMMALIA,
Eastern Black Rhino,Savanna,3,Increasing,cr, MAMMALIA,17.5
Coke's Hartebeest,Forest,4,Decreasing,lc, MAMMALIA,7.5
Malaysian Lar,Forest,3,Decreasing,en, MAMMALIA,15
Carpenter’s Lar,Forest,3,Decreasing,en, MAMMALIA,15
Sumatran Lar,Forest,3,Decreasing,en, MAMMALIA,15
Central Lar,Forest,1,Decreasing,vu, MAMMALIA,15
White-handed Gibbon,Forest,1,Decreasing,dd, MAMMALIA,
Nanger granti ssp. granti,Savanna,2,Decreasing,lc, MAMMALIA,4.9
Margarita Capuchin,Forest,3,Decreasing,cr, MAMMALIA,5
Black-chinned Vervet Monkey,Forest,2,Decreasing,lc, MAMMALIA,
Guianan Brown Capuchin,Forest,0,Stable,lc, MAMMALIA,15
Lichtenstein's Hartebeest,Forest,3,Stable,lc, MAMMALIA,7.5
Korrigum,Savanna,4,Decreasing,en, MAMMALIA,6.1
